target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,trend,skew,mean,stddev,hurst,serialcorr,date
-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,1.2673485487623701,-0.751036841768517,-1.32404444444444,29.595363728288103,0.0978956254631617,0.0053467444489168105,2016-02-18 10:00:00
-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,1.17820250314022,-0.9153865678116959,-3.71400555555556,27.4962732991961,0.0963613386000757,0.00892018482615831,2016-02-18 11:00:00
1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,1.1011532330067,-1.09858875928168,-5.87873888888889,25.632552024127,0.0374105132279967,0.0233268287059223,2016-02-18 12:00:00
3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,0.993390199715001,-1.72321071286463,-8.07091111111111,22.985175440856,-0.0198580243506719,0.0460106460315163,2016-02-18 13:00:00
26.6706,3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,1.05778234327246,-2.2408908981637596,-9.46426666666667,21.3482146213407,0.0132679539994156,0.0121817187493072,2016-02-18 14:00:00
101.38600000000001,26.6706,3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,1.1368079674041,-1.8996769903776003,-7.08868888888889,22.8909650670017,-0.008286033446067341,0.0169165826736865,2016-02-18 15:00:00
14.8784,101.38600000000001,26.6706,3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,2.1629089217514,0.789641548423097,-0.91627777777778,34.2842863471532,-0.250445365564021,0.0829040353955772,2016-02-18 16:00:00
27.2396,14.8784,101.38600000000001,26.6706,3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,1.37571246238216,1.0322938480546802,3.1794277777777795,31.2239336475348,-0.300453654284891,0.19322216819501198,2016-02-18 17:00:00
4.922,27.2396,14.8784,101.38600000000001,26.6706,3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,0.8326827395099591,2.9427264492480294,8.72617222222222,25.2705143506816,-0.256865491634835,0.18769659603477198,2016-02-18 18:00:00
10.1249,4.922,27.2396,14.8784,101.38600000000001,26.6706,3.2876,1.0213,-2.679,-0.3499,0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,0.810846328219703,3.1246347929532403,9.87638888888889,24.5503005561065,-0.24311631562231797,0.20975209870959402,2016-02-18 19:00:00
